word: hate                count:78
word: sound               count:78
word: tenth               count:77
word: north               count:77
word: eye                 count:77
word: feed                count:77
word: firstborn           count:77
word: committed           count:77
word: hearkened           count:77
word: knowest             count:76
word: nation              count:76
word: except              count:76
word: gates               count:76
word: strange             count:75
word: understanding       count:75
word: draw                count:75
word: coming              count:75
word: fourth              count:75
word: taketh              count:74
word: breadth             count:74
word: write               count:74
word: commit              count:74
word: sore                count:74
word: bowed               count:73
word: jordan              count:73
word: atonement           count:73
word: salvation           count:73
word: sheep               count:73
word: shouldest           count:73
word: thought             count:72
word: whence              count:72
word: whereof             count:72
word: cattle              count:72
word: cover               count:72
word: sold                count:72
word: stretched           count:71
word: sware               count:71
word: lips                count:71
word: beginning           count:71
word: removed             count:71
word: court               count:71
word: wind                count:70
word: ruler               count:70
word: served              count:70
word: taught              count:69
word: trespass            count:69
word: eaten               count:69
word: clothed             count:69
word: prayer              count:69
word: precious            count:69
word: prophesy            count:69
word: reason              count:69
word: consumed            count:69
word: sanctify            count:69
word: since               count:69
word: heed                count:68
word: curse               count:68
word: bow                 count:68
word: gospel              count:68
word: greater             count:68
word: heads               count:68
word: led                 count:67
word: camp                count:67
word: manasseh            count:67
word: mountain            count:67
word: battle              count:67
word: faithful            count:67
word: perfect             count:67
word: beseech             count:67
word: speaketh            count:67
word: stranger            count:66
word: devour              count:66
word: wickedness          count:66
word: lamb                count:66
word: length              count:66
word: captivity           count:66
word: messengers          count:66
word: moab                count:66
word: anointed            count:66
word: golden              count:66
word: just                count:65
word: early               count:65
word: soon                count:65
word: bones               count:64
word: brake               count:64
word: ear                 count:64
word: eight               count:64
word: names               count:64
word: cloud               count:64
word: read                count:64
word: heavens             count:64
word: cursed              count:63
word: think               count:63
word: isaac               count:63
word: wast                count:63
word: pieces              count:63
word: pour                count:63
word: forsaken            count:63
word: behind              count:63
word: benjamin            count:63
word: sinned              count:63
word: husband             count:62
word: desolate            count:62
word: wives               count:62
word: dust                count:62
word: master              count:62
word: myself              count:62
word: abode               count:62
word: obey                count:62
word: foot                count:62
word: appeared            count:62
word: fought              count:62
word: foundation          count:62
word: remain              count:62
word: ahab                count:62
word: sign                count:62
word: darkness            count:61
word: hour                count:61
word: howbeit             count:61
word: false               count:61
word: feared              count:61
word: company             count:61
word: greatly             count:61
word: shadow              count:61
word: absalom             count:61
word: jehoshaphat         count:60
word: dry                 count:60
word: seventy             count:60
word: deal                count:59
word: unleavened          count:59
word: worthy              count:59
